   y(mm)   u(m/s)
   0.0000000e+00   0.0000000e+00
   5.8112506e-03   3.3200000e-03
   1.1622501e-02   6.6399996e-03
   1.7433752e-02   9.9599981e-03
   2.3245002e-02   1.3279994e-02
   2.9056253e-02   1.6599986e-02
   3.4867503e-02   1.9919970e-02
   4.0678754e-02   2.3239945e-02
   4.6490005e-02   2.6559906e-02
   5.2301255e-02   2.9879849e-02
   5.8112506e-02   3.3199770e-02
   6.3923756e-02   3.6519664e-02
   6.9735007e-02   3.9839525e-02
   7.5546258e-02   4.3159346e-02
   8.1357508e-02   4.6479121e-02
   8.7168759e-02   4.9798841e-02
   9.2980009e-02   5.3118500e-02
   9.8791260e-02   5.6438088e-02
   1.0460251e-01   5.9757597e-02
   1.1041376e-01   6.3077016e-02
   1.1622501e-01   6.6396335e-02
   1.2203626e-01   6.9715544e-02
   1.2784751e-01   7.3034631e-02
   1.3365876e-01   7.6353585e-02
   1.3947001e-01   7.9672393e-02
   1.4528126e-01   8.2991042e-02
   1.5109252e-01   8.6309518e-02
   1.5690377e-01   8.9627809e-02
   1.6271502e-01   9.2945898e-02
   1.6852627e-01   9.6263771e-02
   1.7433752e-01   9.9581412e-02
   1.8014877e-01   1.0289881e-01
   1.8596002e-01   1.0621593e-01
   1.9177127e-01   1.0953278e-01
   1.9758252e-01   1.1284933e-01
   2.0339377e-01   1.1616556e-01
   2.0920502e-01   1.1948145e-01
   2.1501627e-01   1.2279698e-01
   2.2082752e-01   1.2611214e-01
   2.2663877e-01   1.2942690e-01
   2.3245002e-01   1.3274124e-01
   2.3826127e-01   1.3605515e-01
   2.4407252e-01   1.3936859e-01
   2.4988377e-01   1.4268154e-01
   2.5569503e-01   1.4599399e-01
   2.6150628e-01   1.4930591e-01
   2.6731753e-01   1.5261727e-01
   2.7312878e-01   1.5592804e-01
   2.7894003e-01   1.5923822e-01
   2.8475128e-01   1.6254779e-01
   2.9056253e-01   1.6585671e-01
   2.9637378e-01   1.6916497e-01
   3.0218503e-01   1.7247252e-01
   3.0799628e-01   1.7577935e-01
   3.1380753e-01   1.7908542e-01
   3.1961878e-01   1.8239069e-01
   3.2543003e-01   1.8569514e-01
   3.3124128e-01   1.8899874e-01
   3.3705253e-01   1.9230145e-01
   3.4286378e-01   1.9560324e-01
   3.4867503e-01   1.9890408e-01
   3.5448629e-01   2.0220393e-01
   3.6029754e-01   2.0550276e-01
   3.6610879e-01   2.0880054e-01
   3.7192004e-01   2.1209723e-01
   3.7773129e-01   2.1539279e-01
   3.8354254e-01   2.1868719e-01
   3.8935379e-01   2.2198039e-01
   3.9516504e-01   2.2527236e-01
   4.0097629e-01   2.2856306e-01
   4.0678754e-01   2.3185245e-01
   4.1259879e-01   2.3514050e-01
   4.1841004e-01   2.3842716e-01
   4.2422129e-01   2.4171240e-01
   4.3003254e-01   2.4499618e-01
   4.3584379e-01   2.4827846e-01
   4.4165504e-01   2.5155920e-01
   4.4746629e-01   2.5483836e-01
   4.5327755e-01   2.5811590e-01
   4.5908880e-01   2.6139177e-01
   4.6490005e-01   2.6466594e-01
   4.7071130e-01   2.6793837e-01
   4.7652255e-01   2.7120901e-01
   4.8233380e-01   2.7447782e-01
   4.8814505e-01   2.7774475e-01
   4.9395630e-01   2.8100977e-01
   4.9976755e-01   2.8427282e-01
   5.0557880e-01   2.8753387e-01
   5.1139005e-01   2.9079287e-01
   5.1720130e-01   2.9404978e-01
   5.2301255e-01   2.9730454e-01
   5.2882380e-01   3.0055711e-01
   5.3463505e-01   3.0380746e-01
   5.4044630e-01   3.0705552e-01
   5.4625755e-01   3.1030125e-01
   5.5206881e-01   3.1354461e-01
   5.5788006e-01   3.1678554e-01
   5.6369131e-01   3.2002400e-01
   5.6950256e-01   3.2325994e-01
   5.7531381e-01   3.2649331e-01
   5.8112506e-01   3.2972406e-01
   5.8693631e-01   3.3295213e-01
   5.9274756e-01   3.3617749e-01
   5.9855881e-01   3.3940008e-01
   6.0437006e-01   3.4261984e-01
   6.1018131e-01   3.4583672e-01
   6.1599256e-01   3.4905068e-01
   6.2180381e-01   3.5226165e-01
   6.2761506e-01   3.5546960e-01
   6.3342631e-01   3.5867445e-01
   6.3923756e-01   3.6187617e-01
   6.4504881e-01   3.6507469e-01
   6.5086007e-01   3.6826995e-01
   6.5667132e-01   3.7146192e-01
   6.6248257e-01   3.7465052e-01
   6.6829382e-01   3.7783571e-01
   6.7410507e-01   3.8101742e-01
   6.7991632e-01   3.8419560e-01
   6.8572757e-01   3.8737019e-01
   6.9153882e-01   3.9054114e-01
   6.9735007e-01   3.9370839e-01
   7.0316132e-01   3.9687187e-01
   7.0897257e-01   4.0003153e-01
   7.1478382e-01   4.0318731e-01
   7.2059507e-01   4.0633916e-01
   7.2640632e-01   4.0948703e-01
   7.3221757e-01   4.1263096e-01
   7.3802882e-01   4.1577090e-01
   7.4384007e-01   4.1890677e-01
   7.4965132e-01   4.2203849e-01
   7.5546258e-01   4.2516601e-01
   7.6127383e-01   4.2828924e-01
   7.6708508e-01   4.3140812e-01
   7.7289633e-01   4.3452258e-01
   7.7870758e-01   4.3763255e-01
   7.8451883e-01   4.4073796e-01
   7.9033008e-01   4.4383874e-01
   7.9614133e-01   4.4693481e-01
   8.0195258e-01   4.5002612e-01
   8.0776383e-01   4.5311259e-01
   8.1357508e-01   4.5619416e-01
   8.1938633e-01   4.5927075e-01
   8.2519758e-01   4.6234230e-01
   8.3100883e-01   4.6540874e-01
   8.3682008e-01   4.6847000e-01
   8.4263133e-01   4.7152602e-01
   8.4844258e-01   4.7457673e-01
   8.5425384e-01   4.7762206e-01
   8.6006509e-01   4.8066195e-01
   8.6587634e-01   4.8369633e-01
   8.7168759e-01   4.8672513e-01
   8.7749884e-01   4.8974828e-01
   8.8331009e-01   4.9276573e-01
   8.8912134e-01   4.9577741e-01
   8.9493259e-01   4.9878325e-01
   9.0074384e-01   5.0178318e-01
   9.0655509e-01   5.0477715e-01
   9.1236634e-01   5.0776508e-01
   9.1817759e-01   5.1074692e-01
   9.2398884e-01   5.1372259e-01
   9.2980009e-01   5.1669204e-01
   9.3561134e-01   5.1965521e-01
   9.4142259e-01   5.2261202e-01
   9.4723384e-01   5.2556241e-01
   9.5304510e-01   5.2850633e-01
   9.5885635e-01   5.3144371e-01
   9.6466760e-01   5.3437449e-01
   9.7047885e-01   5.3729861e-01
   9.7629010e-01   5.4021599e-01
   9.8210135e-01   5.4312659e-01
   9.8791260e-01   5.4603034e-01
   9.9372385e-01   5.4892718e-01
   9.9953510e-01   5.5181705e-01
   1.0053464e+00   5.5469989e-01
   1.0111576e+00   5.5757563e-01
   1.0169689e+00   5.6044422e-01
   1.0227801e+00   5.6330560e-01
   1.0285914e+00   5.6615971e-01
   1.0344026e+00   5.6900648e-01
   1.0402139e+00   5.7184586e-01
   1.0460251e+00   5.7467779e-01
   1.0518364e+00   5.7750221e-01
   1.0576476e+00   5.8031907e-01
   1.0634589e+00   5.8312829e-01
   1.0692701e+00   5.8592983e-01
   1.0750814e+00   5.8872363e-01
   1.0808926e+00   5.9150963e-01
   1.0867039e+00   5.9428777e-01
   1.0925151e+00   5.9705799e-01
   1.0983264e+00   5.9982025e-01
   1.1041376e+00   6.0257447e-01
   1.1099489e+00   6.0532061e-01
   1.1157601e+00   6.0805860e-01
   1.1215714e+00   6.1078840e-01
   1.1273826e+00   6.1350994e-01
   1.1331939e+00   6.1622318e-01
   1.1390051e+00   6.1892805e-01
   1.1448164e+00   6.2162449e-01
