y(mm) u(m/s) 
0.000000 0.000000 
1.143169 1.139810 
1.536901 1.363569 
1.891262 1.583965 
2.284996 1.835112 
2.639359 2.064060 
3.033092 2.330934 
3.387455 2.567403 
3.781191 2.779548 
4.135553 2.955015 
4.529289 3.127261 
4.883654 3.267645 
5.277390 3.393138 
5.631754 3.497366 
6.025492 3.587063 
6.379856 3.664312 
6.773594 3.738724 
7.127958 3.788472 
7.521697 3.814103 
7.876061 3.837452 
8.269800 3.856621 
8.624166 3.868009 
9.017904 3.873132 
9.372270 3.876765 
9.766009 3.879347 
10.120375 3.880307 
10.514113 3.881113 
10.868479 3.881596 
11.262218 3.882735 
11.616584 3.882853 
12.010323 3.882706 
12.364688 3.881857 
12.758428 3.881084 
13.112793 3.880485 
13.506532 3.881256 
13.860896 3.881890 
14.254635 3.882532 
14.608999 3.882704 
15.002738 3.882141 
15.357102 3.882063 
15.711466 3.882416 
16.105204 3.883125 
16.459568 3.883169 
16.853306 3.882752 
17.207668 3.882991 
17.601404 3.883017 
17.955769 3.883629 
18.349503 3.882645 
18.703865 3.882790 
19.097601 3.883158 
19.451962 3.884452 
19.845696 3.884935 
20.200056 3.884916 
20.593790 3.884057 
20.948151 3.884167 
21.341883 3.885195 
21.696241 3.885211 
22.089973 3.884252 
22.444330 3.882485 
22.838060 3.881788 
23.192417 3.882298 
23.586147 3.882700 
23.940502 3.882231 
24.334230 3.881555 
24.688585 3.882320 
25.082312 3.882507 
25.436665 3.882214 
25.830391 3.881724 
26.184742 3.882023 
26.578466 3.882658 
26.932817 3.882302 
27.326540 3.881260 
27.680889 3.881090 
28.074610 3.882536 
28.428957 3.883744 
28.822676 3.884646 
29.177023 3.884121 
29.570740 3.882729 
29.925085 3.882011 
30.318800 3.882211 
30.673143 3.882466 
31.066856 3.883084 
31.421198 3.884110 
31.775539 3.885209 
32.169250 3.885593 
32.523586 3.884873 
32.917297 3.884323 
33.271633 3.885008 
33.665337 3.885963 
34.019672 3.886498 
34.413376 3.886417 
34.767712 3.886255 
35.161411 3.885363 
35.515743 3.883732
