y(mm)	u(m/s)
0	0
1.143169	1.174268
1.536901	1.387063
1.891262	1.609068
2.284996	1.856267
2.639359	2.082052
3.033092	2.351692
3.387455	2.580921
3.781191	2.765052
4.135553	2.934212
4.529289	3.113311
4.883654	3.253655
5.27739	3.367085
5.631754	3.467182
6.025492	3.559011
6.379856	3.634768
6.773594	3.709552
7.127958	3.762091
7.521697	3.792533
7.876061	3.820539
8.2698	3.84562
8.624166	3.860288
9.017904	3.865183
9.37227	3.870418
9.766009	3.873139
10.120375	3.874002
10.514113	3.875062
10.868479	3.875387
11.262218	3.875275
11.616584	3.874753
12.010323	3.874663
12.364688	3.875118
12.758428	3.875773
13.112793	3.877228
13.506532	3.87844
13.860896	3.87931
14.254635	3.877905
14.608999	3.876254
15.002738	3.875826
15.357102	3.876736
15.711466	3.877015
16.105204	3.875647
16.459568	3.874033
16.853306	3.872096
17.207668	3.871694
17.601404	3.870941
17.955769	3.869122
18.349503	3.8673
18.703865	3.867797
19.097601	3.86872
19.451962	3.86974
19.845696	3.87072
20.200056	3.872543
20.59379	3.874395
20.948151	3.874432
21.341883	3.871927
21.696241	3.869568
22.089973	3.868662
22.44433	3.868403
22.83806	3.869646
23.192417	3.870882
23.586147	3.873229
23.940502	3.874347
24.33423	3.875962
24.688585	3.875246
25.082312	3.875769
25.436665	3.87509
25.830391	3.875358
26.184742	3.874946
26.578466	3.874977
26.932817	3.873296
27.32654	3.872482
27.680889	3.873455
28.07461	3.87535
28.428957	3.875893
28.822676	3.874819
29.177023	3.87329
29.57074	3.871699
29.925085	3.87177
30.3188	3.873608
30.673143	3.875779
31.066856	3.877836
31.421198	3.879911
31.775539	3.880757
32.16925	3.88017
32.523586	3.879749
32.917297	3.879812
33.271633	3.878572
33.665337	3.876076
34.019672	3.874818
34.413376	3.874951
34.767712	3.875692
35.161411	3.875744
35.515743	3.875096
