y(mm) u(m/s) 
0.000000 0.000000 
1.143169 1.967103 
1.536901 2.249032 
1.891262 2.398744 
2.284996 2.522491 
2.639359 2.614609 
3.033092 2.704108 
3.387455 2.772191 
3.781191 2.831339 
4.135553 2.891659 
4.529289 2.956135 
4.883654 3.005660 
5.277390 3.052435 
5.631754 3.095167 
6.025492 3.137705 
6.379856 3.173798 
6.773594 3.215504 
7.127958 3.250352 
7.521697 3.281906 
7.876061 3.313972 
8.269800 3.349593 
8.624166 3.378662 
9.017904 3.409150 
9.372270 3.438551 
9.766009 3.470408 
10.120375 3.501345 
10.514113 3.537468 
10.868479 3.567532 
11.262218 3.595131 
11.616584 3.622546 
12.010323 3.650235 
12.364688 3.671429 
12.758428 3.694448 
13.112793 3.716215 
13.506532 3.735578 
13.860896 3.751236 
14.254635 3.769629 
14.608999 3.784128 
15.002738 3.796478 
15.357102 3.810705 
15.711466 3.824179 
16.105204 3.835312 
16.459568 3.842547 
16.853306 3.850621 
17.207668 3.856781 
17.601404 3.862743 
17.955769 3.868071 
18.349503 3.872582 
18.703865 3.875727 
19.097601 3.879528 
19.451962 3.882215 
19.845696 3.883131 
20.200056 3.882783 
20.593790 3.882133 
20.948151 3.881813 
21.341883 3.882361 
21.696241 3.883208 
22.089973 3.883674 
22.444330 3.883622 
22.838060 3.883881 
23.192417 3.882771 
23.586147 3.880451 
23.940502 3.879596 
24.334230 3.881722 
24.688585 3.884131 
25.082312 3.886052 
25.436665 3.885833 
25.830391 3.885029 
26.184742 3.884727 
26.578466 3.884173 
26.932817 3.882748 
27.326540 3.882260 
27.680889 3.882832 
28.074610 3.883174 
28.428957 3.882561 
28.822676 3.881311 
29.177023 3.879591 
29.570740 3.877558 
29.925085 3.877086 
30.318800 3.878074 
30.673143 3.879665 
31.066856 3.879940 
31.421198 3.880463 
31.775539 3.880597 
32.169250 3.880302 
32.523586 3.879582 
32.917297 3.879449 
33.271633 3.879486 
33.665337 3.879992 
34.019672 3.880981 
34.413376 3.881855 
34.767712 3.881455 
35.161411 3.880423 
35.515743 3.879745 
